地点名,カフェ名,評価,口コミ数,緯度,経度
西宮北口,喫茶 ヨネ,3.5,34,34.7432864,135.3620356
西宮北口,珈琲春秋Kobe 西宮北口店,3.9,63,34.7472546,135.3582044
西宮北口,ホリーズカフェ 西宮駅前店,3.7,88,34.7375666,135.3471533
西宮北口,Sabio Cafe,3.9,53,34.74657699999999,135.3620949
西宮北口,あかねや 西宮店,4.0,92,34.7378256,135.3482754
西宮北口,Ｔ＆ＭＣＯＦＦＥＥフレンテ西宮店,4.0,25,34.7382405,135.3485114
西宮北口,珈琲専科 Vivid,3.6,30,34.7475511,135.3573738
西宮北口,Mauliola cafe and bar,4.0,25,34.747519,135.3558815
西宮北口,ミカ,3.2,5,34.740307,135.345722
西宮北口,マザーリーフ・ティースタイル 阪急西宮ガーデンズ店,3.8,65,34.7433969,135.3598898
西宮北口,ひさご,3.5,2,34.7455851,135.3610647
西宮北口,珈琲たくみ屋,3.0,28,34.7473245,135.3580348
西宮北口,丸福珈琲店 阪急西宮ガーデンズ店,3.8,427,34.74328819999999,135.3594147
なんば,カフェ ヴェーク,4.6,94,34.6724871,135.4903942
なんば,MONDIAL KAFFEE 328 GUT WOLF,4.5,83,34.6723867,135.4970731
なんば,CAFÉ RÉPIT カフェレピ,4.3,37,34.6704811,135.495881
なんば,クラムカフェ,4.5,53,34.6599489,135.5046884
なんば,タムタムカフェ,4.8,30,34.662722,135.5088163
なんば,喫茶マーチス,3.9,29,34.6617796,135.4943508
なんば,カフェ JUN,4.0,26,34.6736113,135.505988
なんば,Le Premier Cafe Roastery なんば(TAKE OUT)│ル・プルミエ・カフェ ロースタリー,4.4,71,34.6647074,135.4954074
なんば,Café NoHo,4.7,18,34.6731945,135.4960714
なんば,カフェコロンビア,4.6,52,34.674889,135.5039814
なんば,Hapje ハピェ,4.4,169,34.6742051,135.4970287
なんば,BANCO cafe,4.3,3,34.6734715,135.498422
なんば,モンディアルカフェ 328 NY3,4.0,607,34.6742058,135.4960632
なんば,Cafe Miel(カフェ ミエル),4.4,41,34.6713105,135.5114629
なんば,カフェ フロリアン,3.4,33,34.6726258,135.4955904
なんば,CORA COFFEE,4.1,102,34.6629152,135.4976541
なんば,GammedCafe,3.8,74,34.6704306,135.5060517
なんば,COFFEE EIKO,4.9,24,34.6665366,135.4993842
なんば,カフェ三番館なんば店,4.0,156,34.6651614,135.4954138
なんば,カフェ・ド・ラペ,3.9,174,34.66651,135.50002
天王寺,喫茶我路,4.5,19,34.6551253,135.5091305
天王寺,ル・ペイザン,4.7,47,34.6531022,135.5141872
天王寺,喫茶キャメル,4.5,36,34.6486956,135.5037108
天王寺,カフェ・ド・イズミ,4.8,181,34.6519261,135.5032307
天王寺,リマリーカフェ Limally Cafe,4.7,16,34.6532512,135.5058504
天王寺,cafe zigzag,4.6,16,34.6394105,135.5116398
天王寺,パオパパ,4.7,20,34.6470236,135.5225905
天王寺,喫茶ジュン,4.2,51,34.6490816,135.5238074
天王寺,喫茶 ドレミ,4.2,409,34.6524923,135.5060881
天王寺,珈琲専科 フーケ,4.4,114,34.6525894,135.5056909
天王寺,The Coffee Market 焙煎・ケーキ工房,4.4,302,34.6497305,135.5208801
天王寺,喫茶 ブラザー,4.4,170,34.6539219,135.5058477
天王寺,gallery cafe & zakka SAKURA,4.4,40,34.6382623,135.522172
天王寺,コーヒーハウス プティ,3.8,24,34.6527694,135.5060037
天王寺,ドマーニ,4.0,28,34.6459576,135.5151605
天王寺,プロムナードカフェあべちか店,3.8,362,34.6479012,135.5129621
天王寺,cafe百花,3.8,59,34.6545817,135.5139241
天王寺,よりみち 喫茶部/沖縄料理屋 ゆくりBar,4.8,19,34.6396601,135.5095313
天王寺,コーヒーショップ伊吹,4.6,40,34.6452732,135.5027642
天王寺,カフェ 英國屋 天王寺MIO店,3.9,182,34.6468314,135.5142415
千里中央,トラントロワ,4.0,7,34.81302160000001,135.5031191
千里中央,SANT’ANDREA CAFE,3.2,44,34.8109713,135.4951549
千里中央,カフェゆるる,4.8,11,34.8068434,135.5025443
千里中央,果琳珈琲店 千里中央店,3.9,81,34.8077975,135.4956603
千里中央,コメダ珈琲店 豊中上新田店,3.8,631,34.8002885,135.4991089
千里中央,いち,3.6,69,34.8108678,135.4952029
千里中央,CAFE RESTO,1.8,8,34.811774,135.4950855
千里中央,ティッキー,4.8,5,34.798568,135.4990198
千里中央,カフェモロゾフ イオンSENRITO店,4.1,91,34.80869029999999,135.4945132
千里中央,マミー,3.5,8,34.8103696,135.4949782
千里中央,クロバー,3.2,11,34.8112835,135.4950255
千里中央,È PRONTO (エ プロント) モノウェル千里中央店,3.9,64,34.8075067,135.4953202
千里中央,MUC COFFEE ROASTERS 千里ライフサイエンス店,3.8,22,34.8113554,135.4956096
千里中央,グリーンファーム,0.0,0,34.8117482,135.4961021
千里中央,BINASTA CAFE,3.5,4,34.8106442,135.4949959
千里中央,ローズ,3.0,3,34.7997434,135.5035133
千里中央,花芽,3.4,5,34.7984759,135.5016557
千里中央,cafe inukshuk,5.0,4,34.8021416,135.4939575
千里中央,スターバックス コーヒー 千里中央店,3.7,256,34.8081956,135.4941758
千里中央,ニューアストリア,4.5,272,34.8091217,135.4951324
十三,カフェ コリーノ,4.1,39,34.71919949999999,135.4792035
十三,日々カフェ,4.5,25,34.7192125,135.4766916
十三,ユッテ,4.9,20,34.7253807,135.4882762
十三,喫茶パーク,4.5,2,34.7184058,135.4779858
十三,喫茶 Lamptira,4.4,51,34.722916,135.4914335
十三,HEAVEN'S CAFE 十三（ヘブンズカフェ/ヘヴンズカフェ）,4.3,95,34.7213495,135.4875801
十三,MONTOMWORKS. mt.cafe & Design Dept.,4.4,93,34.7154081,135.4810505
十三,Cafe Baraza,4.1,69,34.721378,135.475642
十三,ホリーズカフェ 十三店,3.7,113,34.7199617,135.4812247
十三,喫茶テラス,3.0,1,34.7278907,135.489375
十三,珈琲空間,4.7,28,34.7192358,135.483208
十三,カフェ・アッシュ,3.0,1,34.7273649,135.4713573
十三,ホリーズカフェ 十三東口店,3.4,45,34.7194584,135.4834205
十三,ンケリコ,4.4,104,34.7122081,135.4928003
十三,かっこう,3.9,26,34.7211871,135.4878815
十三,赤トンボコーヒー,4.3,39,34.7188629,135.4783244
十三,デン,4.4,5,34.728595,135.4790093
十三,マイブレンド,3.9,72,34.7214922,135.4833038
十三,いちょうカフェ,3.7,6,34.7265573,135.4897904
十三,COFFEE HOUSE Castle Combe,3.6,109,34.7199317,135.4815955
江坂,カフェ エデン 江坂店,4.1,266,34.7564686,135.4949419
江坂,カフェエイト,4.2,89,34.759865,135.5019082
江坂,カフェ三番館 江坂公園店,3.7,230,34.7588891,135.4982927
江坂,Cafe Lucky,4.2,40,34.753087,135.5059405
江坂,コーヒーハウス 絹,4.0,31,34.7559317,135.4977546
江坂,江坂プランタン,4.0,46,34.7615501,135.4963387
江坂,カフェチャクラ,4.3,7,34.7618808,135.5015229
江坂,エクセルシオール カフェ 江坂広芝店,3.6,361,34.7573595,135.4972828
江坂,喫茶ポピー,4.2,9,34.7639849,135.5070593
江坂,野菜カフェ ポーノ,4.2,62,34.7530565,135.5008393
江坂,キッチンカフェ ミント,4.0,31,34.7536195,135.5017978
江坂,ヒロコーヒー 本店,4.2,489,34.7561636,135.4981221
江坂,ヒロコーヒー 江坂店,4.0,264,34.7580828,135.4978479
江坂,sri cafe,4.0,35,34.7640595,135.5063017
江坂,萠茶KIZASHI,3.9,172,34.759466,135.497781
江坂,キッシュ,3.8,159,34.756233,135.4951871
江坂,cafe&bal Magis（カフェアンドバル マジス）,4.0,23,34.7620977,135.5022277
江坂,trip room,4.7,21,34.758555,135.5006652
江坂,アン,4.0,2,34.7600739,135.5037033
江坂,珈琲 樹,0.0,0,34.7657502,135.4867062
心斎橋,カフェ ヴェーク,4.6,94,34.6724871,135.4903942
心斎橋,カフェ フロリアン,3.4,33,34.6726258,135.4955904
心斎橋,MONDIAL KAFFEE 328 GUT WOLF,4.5,83,34.6723867,135.4970731
心斎橋,カフェロード,4.0,11,34.6825001,135.5010572
心斎橋,カフェグルッペ,3.5,19,34.6819686,135.4997863
心斎橋,サンマルクカフェ 南久宝寺店,3.6,685,34.678939,135.5012747
心斎橋,カフェ・ド・レジャンス,3.8,18,34.680947,135.506673
心斎橋,珈琲館 大阪本店,3.8,315,34.6781817,135.5061249
心斎橋,cafè NOESIS,3.9,63,34.6755128,135.4999683
心斎橋,モンディアルカフェ 328 NY3,4.0,607,34.6742058,135.4960632
心斎橋,珈琲館 心斎橋店,3.8,160,34.67589299999999,135.502293
心斎橋,Cafe no．,3.6,130,34.6726419,135.4950427
心斎橋,カフェ JUN,4.0,26,34.6736113,135.505988
心斎橋,久宝寺カフェ,4.1,19,34.6794894,135.5072583
心斎橋,cafe BON,4.0,29,34.668878,135.500656
心斎橋,GammedCafe,3.8,74,34.6704306,135.5060517
心斎橋,カフェ英國屋 大阪心斎橋本店,3.7,371,34.6718548,135.5020549
心斎橋,カフェプラッツ,3.3,14,34.676503,135.50449
心斎橋,SUN9 COFFEE,4.0,23,34.6811176,135.5036458
心斎橋,CAFÉ ONthe（カフェオンザ）ホンマチ,4.6,8,34.6820681,135.4994065
本町,ブック＆カフェ喫茶去,4.7,38,34.6849655,135.4901253
本町,カフェルームマダム,4.4,17,34.6885945,135.4923387
本町,CAFE TALES ( Colombian speciality coffee shop),4.8,258,34.6810527,135.5036049
本町,KATACHI CAFE,4.4,77,34.6775107,135.5024857
本町,CAFE itutu,4.5,30,34.6845591,135.4985666
本町,ドットカフェ,4.4,87,34.68421840000001,135.4950436
本町,カフェロード,4.0,11,34.6825001,135.5010572
本町,カフェ周,4.4,33,34.6878689,135.498385
本町,ほっこりカフェ 彩つなぎ IRO-TSUNAGI,5.0,29,34.6780154,135.4940771
本町,久宝寺カフェ,4.1,19,34.6794894,135.5072583
本町,カフェ JUN,4.0,26,34.6736113,135.505988
本町,カイゲンカフェ kaigen cafe,4.0,150,34.6841197,135.4926235
本町,エルマーズグリーンカフェ,4.1,248,34.6891028,135.5068346
本町,オフィシナ・デル・カフェ,4.3,119,34.6905332,135.4989577
本町,SUN9 COFFEE,4.0,23,34.6811176,135.5036458
本町,カフェ・ド・レジャンス,3.8,18,34.680947,135.506673
本町,cafè NOESIS,3.9,63,34.6755128,135.4999683
本町,プティベール,4.4,41,34.685986,135.499585
本町,カフェコロンビア,4.6,52,34.674889,135.5039814
本町,CAFE iOLE! casual,4.5,11,34.6778633,135.5045014
吹田,Cafe 樹,4.5,147,34.7609939,135.524268
吹田,吹田 カフェ 喫茶店 ほっぷっ,4.7,43,34.761069,135.526571
吹田,カフェアンドベイク ベベ,4.5,46,34.7578892,135.5234892
吹田,Ｚｕｔｔｏ−ｃｏｆｆｅｅ,4.3,45,34.75516030000001,135.5231619
吹田,カフェ レトワール ド メール,4.6,58,34.757984,135.5198615
吹田,喫茶 蘭豆,4.2,65,34.7613364,135.5250693
吹田,さくらカフェ,4.3,9,34.7612887,135.5246375
吹田,喫茶一番館,3.9,18,34.762644,135.524717
吹田,吹田 カフェ GALLERY×CAFEBARケセラ,4.1,10,34.7599402,135.5253301
吹田,delight coffee&bake,4.7,26,34.7636061,135.5129504
吹田,COLINA COFFEE,4.4,74,34.7660189,135.519992
吹田,Cafe Sabay,4.0,12,34.7573354,135.5349061
吹田,コーヒーハウス ブラウニー,4.0,6,34.758555,135.5170501
吹田,亜理亜恵,3.8,69,34.7576904,135.5339681
吹田,よしだ珈琲 本店,4.1,34,34.7590488,135.525652
吹田,喫茶&軽食 モノクローム,3.6,10,34.7630425,135.5254193
吹田,再会,4.2,16,34.7621993,135.5233787
吹田,E-CUBE CAFE,3.8,6,34.7581102,135.5274967
吹田,喫茶ペリエ,4.3,3,34.7625861,135.5267793
吹田,アン ドゥ トロワー,4.4,8,34.7583275,135.5334285
